,id_str,user_id,text,created_at,user_location,lang,entities_hashtags,entities_symbols,time_zone,location
0,1243387385016008711,1234572553835991042,Raining here.. How we are doing the things Good to fight against Corona virus. We will win . https://t.co/UMsdkZtmLb,2020-03-27 04:00:28,,en,[],[],,"New Delhi, India"
1,1243387555774484484,977776529366171648,"This gentleman is crying as if corona has warned us few months before it came to India,these attention seekers are infected with constpation stigma unless they shit something they cant start their day https://t.co/tS4WxK474E",2020-03-27 04:01:08,,en,[],[],,India
2,1243387573268955137,1210859948915036160,W H.O. chief Dr Tedrya betryed world to say corona is  not spreading through community and favoured china,2020-03-27 04:01:13,,en,[],[],,"Jhansi, India"
3,1243387746770546694,1037543943683141632,Pathophysiology n insights into this subject by young doctors will stop the nutrition to corona @drharshvardhan @PS_HFWD_GUJ @mybmcHealthDept @MoHFW_GUJARAT @UNBiodiversity @AyushmanNHA give facility to govt doctors n usable aids not rain coats. No food. No,2020-03-27 04:01:54,,en,[],[],,Maharashtra
4,1243387768253763589,755678574145839108,"The Government of India has created WhatsApp Chatbot on Corona.

 It is called MyGov Corona Helpdesk.

Just save on WhatsApp 9013151515 and write a “Hi” you will get automated response on queries related to Corona. #IndiaFightsCorona https://t.co/XMY9MQiIWT",2020-03-27 04:01:59,,en,"[{'text': 'IndiaFightsCorona', 'indices': [215, 233]}]",[],,"Bhabua, India"
5,1243387853750452225,76662814,"@mani1972ias sir there is no Kannada option in the app, could you pls instruct the team/vendor to update and provide Kannada option as default in the app? #serveinmylanguage 
Will this be available in iOS ? https://t.co/vEBKhfsYmm",2020-03-27 04:02:20,,en,"[{'text': 'serveinmylanguage', 'indices': [155, 173]}]",[],,Bengaluru
6,1243387982150651904,1168774532141735936,"Dear Police,
Some people are playing cricket even when there is a country wide lockdown due to Corona virus. 

Here is the location of the ground they are playing cricket.

#bangalorepolice
#Bangalorelockdown
https://t.co/Xst9DANj5v",2020-03-27 04:02:50,,en,"[{'text': 'bangalorepolice', 'indices': [173, 189]}, {'text': 'Bangalorelockdown', 'indices': [190, 208]}]",[],,
7,1243387992586084354,11976302,"Things to be picked up #coronavirus #COVID2019 #CoronaPandemie #CoronavirusLockdown #coronavirusindia 
https://t.co/ZFBSuWhTfR",2020-03-27 04:02:53,,en,"[{'text': 'coronavirus', 'indices': [23, 35]}, {'text': 'COVID2019', 'indices': [36, 46]}, {'text': 'CoronaPandemie', 'indices': [47, 62]}, {'text': 'CoronavirusLockdown', 'indices': [63, 83]}, {'text': 'coronavirusindia', 'indices': [84, 101]}]",[],,"Dubai, United Arab Emirates"
8,1243388020381777924,2658645984,Nice concept 👏 https://t.co/4Cdn0gUtxv,2020-03-27 04:02:59,,en,[],[],,
9,1243388074542817283,849773799205728257,@MTBikash As if u dn't know...due to Corona Virus,2020-03-27 04:03:12,,en,[],[],,"Mumbai, India🇮🇳"
10,1243388207288336386,111215386,"China has given #ChineseVirus19 reason for the world to get united for once.....what else do you expect....you ungrateful lot 😡

#sarcasmalert https://t.co/hXRTHA4lsr",2020-03-27 04:03:44,,en,"[{'text': 'ChineseVirus19', 'indices': [16, 31]}, {'text': 'sarcasmalert', 'indices': [129, 142]}]",[],,"Delhi, India"
11,1243388256529481728,1953031338,PM  maybe pleased take Bollywood Infustry and entire Indutrial sector and business community on board to contribute to such fund . Once current Corona Pandemic over possibly three weeks many poor would have lost income base? Essential prepare for worst?,2020-03-27 04:03:56,,en,[],[],,"Delhi, India"
12,1243388362150436864,2306766398,"It's"" World Theatre Day"" The whole world is like a huge stage, where each person is playing the unique role of their life! 2020 has given us the challenging role of performing in lockdown.A unique role to do our best! Corona has a guest appearance, who threatens all!",2020-03-27 04:04:21,,en,[],[],,Bengaluru.
13,1243388766808502273,942425468178853889,"@BJP4Himachal @CMOFFICEHP @hp_tourism @PMOIndia

We expect similar initiative by HP government too. https://t.co/co7TuP8sm0",2020-03-27 04:05:57,,en,[],[],,
14,1243388828976427009,827450581509881857,"#ChinaVirus #ChineseBioterrorism 
If @unesco @unicef 
Will not take action against China and indian government also unable to take decision against them then people of India have the power to show how we can destroy China by not using its products. https://t.co/Y26Uq9KZRQ",2020-03-27 04:06:12,,en,"[{'text': 'ChinaVirus', 'indices': [0, 11]}, {'text': 'ChineseBioterrorism', 'indices': [12, 32]}]",[],,"Raipur, India"
15,1243388878460817409,3081066672,"#ShareTheLoad the next virus will be launched by china will definitely starts with ""I""
..
..
#CORONA
#HANTA
#I
#N
#A",2020-03-27 04:06:24,,en,"[{'text': 'ShareTheLoad', 'indices': [0, 13]}, {'text': 'CORONA', 'indices': [93, 100]}, {'text': 'HANTA', 'indices': [101, 107]}, {'text': 'I', 'indices': [108, 110]}, {'text': 'N', 'indices': [111, 113]}, {'text': 'A', 'indices': [114, 116]}]",[],,"Patna, India"
16,1243389005451767808,56736994,"China has used it's traditional medicine along with modern,to fight corona,and it gave them better results...why Govt of India don’t have trust in our traditional Ayurveda?...allow us to be a warriors in fighting #CoronaPandemic @PMOIndia @narendramodi @drharshvardhan @moayush https://t.co/13bhIfv9Nh",2020-03-27 04:06:54,,en,"[{'text': 'CoronaPandemic', 'indices': [213, 228]}]",[],,Rajkot
17,1243389171177156612,1172543175564488709,Corona virus full form https://t.co/APGJLi2M49,2020-03-27 04:07:34,,en,[],[],,"हिम्मतनगर, भारत"
18,1243389250726289413,16681568,so this happened. wife discusses all assets and liabilities and requested same discussion from my side. corona is real.,2020-03-27 04:07:53,,en,[],[],,"Bengaluru, India"
19,1243389359648210946,74666844,@veekay122002 @shivanginipatha Expecting this from these bigots? Sir its like me finding a vaccine for Corona virus in my kitchen !!😂🙏,2020-03-27 04:08:19,,en,[],[],,"Bengaluru, India"
20,1243389644772790272,140047339,"#Gustakhimaanf #ams #coronahumour 3/Good morning all 🌹 Good news 😍
Medicine available for #Corona Virus 
GMCB-21
(Ghar Mein Chupchap Baitho - 21din",2020-03-27 04:09:27,,en,"[{'text': 'Gustakhimaanf', 'indices': [0, 14]}, {'text': 'ams', 'indices': [15, 19]}, {'text': 'coronahumour', 'indices': [20, 33]}, {'text': 'Corona', 'indices': [90, 97]}]",[],,"New Delhi, India"
21,1243389648858046464,151293242,@harbhajan_singh Corona virus is family https://t.co/ISjBL6o6Hq,2020-03-27 04:09:28,,en,[],[],,Hyderabad
22,1243389822510620672,937741711169675264,"ABVP Karnataka &amp; Bengaluru Corona Virus Lockdown helpline number
Please contact us via tele calls to below number or DM us in any of our Social Media.
#IndiaFightsCorona #Helplinenumber https://t.co/GG2A15L9eH https://t.co/e4Mk36zAIb",2020-03-27 04:10:09,,en,"[{'text': 'IndiaFightsCorona', 'indices': [155, 173]}, {'text': 'Helplinenumber', 'indices': [174, 189]}]",[],,"Karnataka, India"
23,1243389831205412865,3274656362,@MeghShukla15 Good Morning Megha. Have Corona free time ahead.,2020-03-27 04:10:11,,en,[],[],,"New Delhi, India"
24,1243390053562200065,1140127064604864512,"@NianticLabs dear niantic, plz stop the new updates, events, Pokémon, raids regarding PoGo, due to CORONA VIRUS whole INDIA goes LOCKDOWN!",2020-03-27 04:11:04,,en,[],[],,
25,1243390303026835456,1078943556843126784,My mom and her sisters in this lockdown talk over phone about the corona virus memes.,2020-03-27 04:12:03,,en,[],[],,"Chandrapur, India"
26,1243390432786001923,886482673937600513,Literally superb advice for fight corona(covid-19) please stay home stay safe . https://t.co/aUVOJIZlou,2020-03-27 04:12:34,,en,[],[],,"pasraha,bihar,india"
27,1243390454801956867,2363750539,@UNHumanRights @POTUS @netanyahu @AbeShinzo Serious negligence by Chinese authorities by hiding deadly Corona Virus outbreak..#ChineseVirus https://t.co/dORhFvqwB8,2020-03-27 04:12:40,,en,"[{'text': 'ChineseVirus', 'indices': [126, 139]}]",[],,Kerala
28,1243390519222218753,1164476797527871489,"All the parts of India milk, vegetable ,fruits etc purchasing limit for control that every indian difficult time vegetable, fruits, grains,medicine etc received,many Indian peoples fear with huge purchasing all item that many indian people's not received any items,price high item https://t.co/lUhGtkHCkx",2020-03-27 04:12:55,,en,[],[],,"Mumbai, India"
29,1243390646464835585,3315769777,"@PMOIndia Sir namaste,I want to get information about mention list of corona patient .all are referred from BEGUSARAI sadar Hospital to PMCH PATNA.BUT TILL TODAY NO ANY REPORT IS AVAILBLE FOR ALL THIS PATIENT..I WANT YOUR KIND ATTENTION FOR MENTIONED CORONA PATIENT.. https://t.co/c493sdxCYZ",2020-03-27 04:13:25,,en,[],[],,"Bihar, India"
30,1243390651120513032,2449554887,@vijayanpinarayi @OfficeofUT @ArvindKejriwal @ashokgehlot51 @myogiadityanath @HemantSorenJMM @Naveen_Odisha your govt's in no particular order are doing excellent work in tackling Corona Virus. Any name I missed?,2020-03-27 04:13:26,,en,[],[],,"New Delhi, India"
31,1243390695815041025,94996750,@RajatSharmaLive @narendramodi क्यों इस तरह के ट्वीट करते हैं सर?? इतने सोच की जरूरत नही है। corona is an epidemic and scientific decision has been taken based on facts and figures. Don't kill the whole spirit by your silly logic.,2020-03-27 04:13:37,,en,[],[],,India
32,1243390774995116040,3274656362,Good Morning Friends. Have Corona free moments ahead. https://t.co/l3aRq5CsiU,2020-03-27 04:13:56,,en,[],[],,"New Delhi, India"
33,1243391189249744896,83179227,"Keep calm, wash your hands and carry on.
#CoronaSeDaro
#CoronaKoStopKaroNa
#Corona
#COVID19
#GharMeRahoNa
#GharPeRahoZindaRaho
#IndiaFightsCorona https://t.co/Fg09ghnqFc",2020-03-27 04:15:35,,en,"[{'text': 'CoronaSeDaro', 'indices': [41, 54]}, {'text': 'CoronaKoStopKaroNa', 'indices': [55, 74]}, {'text': 'Corona', 'indices': [75, 82]}, {'text': 'COVID19', 'indices': [83, 91]}, {'text': 'GharMeRahoNa', 'indices': [92, 105]}, {'text': 'GharPeRahoZindaRaho', 'indices': [106, 126]}, {'text': 'IndiaFightsCorona', 'indices': [127, 145]}]",[],,"New Delhi, India"
34,1243391206102458368,3274656362,Be Corona Free n Love yourself. https://t.co/RfsnGtRWTI,2020-03-27 04:15:39,,en,[],[],,"New Delhi, India"
35,1243391240432799753,1242825659535118341,"Seven UGC portals open for students to continue their studies

 The UGC has made a new system so that students do not get disrupted due to Corona.  Seven portals have been made available for online studies for students of various universities and colleges. https://t.co/qZttQOWwSp",2020-03-27 04:15:47,,en,[],[],,muzaffarpur Bihar 
36,1243391362902290435,1211110380249858049,"@rsprasad @mygovindia @PMOIndia @PIB_India @MoHFW_INDIA Healthy people don't need to wear medical mask, normal mask if ineffective and can cause complication also, so let's leave it for health professionals and corona victims..

Regards",2020-03-27 04:16:16,,en,[],[],,India
37,1243392020669816834,1228737339783966720,@ANI @ArnabGoswamiRtv Great job by police..beat them more as they are the worst peoples to understand the situation of Corona.,2020-03-27 04:18:53,,en,[],[],,"Mumbai, India"
38,1243392153616658435,3290572056,With follow the All rules And regulation by published by government of India and government of Gujarat related to Corona effect to controlling. https://t.co/mKPklZ8iyW,2020-03-27 04:19:25,,en,[],[],,"Ahmadabad City, India"
39,1243392590709325824,58215451,"GOI has launched an app.  It tracks your location and notifies you if you come closer to corona infected person everyone should download this in their mobile👇

https://t.co/8IpKjBFEuB

It is from MEITY, so it is coming from the government. 
Is this real? @PMOIndia @ICMRDELHI",2020-03-27 04:21:09,,en,[],[],,"Jaipur, India"
40,1243392691720708099,361813263,@PMOIndia @mlkhattar ..please look into violations of.Corona pandemic lockdown curfew in Chandigarh https://t.co/2pLfwv6Jrk,2020-03-27 04:21:33,,en,[],[],,NCR Delhi India.  132103
41,1243392829918818305,3274656362,Follow Social Distancing to Islate Corona. https://t.co/LOlr36CmNv,2020-03-27 04:22:06,,en,[],[],,"New Delhi, India"
42,1243393008281640960,796377623014227968,Sutradhaara is in the top. We have seen him during anti - CAA movement.  Police r mere puppets. https://t.co/IAJpLeApco,2020-03-27 04:22:48,,en,[],[],,"Mangalore, India"
43,1243393013935529989,705943007283929088,"Stay inside people. Let this go as soon as it can. Do not delay that.

#coronavirus #covid19 #italy #india #coronavirusoutbreak #corona @ Navi Mumbai (New Mumbai), India https://t.co/MExKiA1WVI",2020-03-27 04:22:50,,en,"[{'text': 'coronavirus', 'indices': [71, 83]}, {'text': 'covid19', 'indices': [84, 92]}, {'text': 'italy', 'indices': [93, 99]}, {'text': 'india', 'indices': [100, 106]}, {'text': 'coronavirusoutbreak', 'indices': [107, 127]}, {'text': 'corona', 'indices': [128, 135]}]",[],,"Mumbai, India"
44,1243393211709579264,363506576,"@RahulGandhi Government is always moving in the right direction, taking concrete decision in favour of Country.  Opposition party has no other work except protest, opposes bill, walkouts of Parliament, 
Please donate generously for """"Corona Relief Fund"""" from the enormous Family wealth.",2020-03-27 04:23:37,,en,[],[],,
45,1243393256085319682,875747389386104832,"Government should have to
Publicly show the photos of corona viruse affected people, so other will take care of own who has with contact to those people.",2020-03-27 04:23:48,,en,[],[],,Delang Kothabad
46,1243393427267448839,544934908,"#news Guys u're doing very well that time ur hardwork, urp passion is seriously appreciable. But don't u think so, that u need to promote or inspire them who is suffering from #corona that whoever suffering from this disease or getting any symptoms they call to medical services.",2020-03-27 04:24:28,,en,"[{'text': 'news', 'indices': [0, 5]}, {'text': 'corona', 'indices': [176, 183]}]",[],,"New Delhi, India"
47,1243393474826665991,166868166,"China has nothing to do with Corona Virus just like Pakistan has nothing to do with Terrorism.

Stop this trend #ChineseVirus19

#CKMKB",2020-03-27 04:24:40,,en,"[{'text': 'ChineseVirus19', 'indices': [112, 127]}, {'text': 'CKMKB', 'indices': [129, 135]}]",[],,Ahmadabad
48,1243393582263726083,1056614393121828866,"#Chandigarh: Received this on WhatsApp from a verified source. If you know any worker from Bihar who is stuck in Chandigarh or in any other state, and is unable to get home, please call on these numbers 👇
18003456138
01123792009
01123013884
01123014326
#Chandigarh #Corona",2020-03-27 04:25:05,,en,"[{'text': 'Chandigarh', 'indices': [0, 11]}, {'text': 'Chandigarh', 'indices': [253, 264]}, {'text': 'Corona', 'indices': [265, 272]}]",[],,"Chandigarh, India"
49,1243393710353612800,544934908,"@aajtak Guys u're doing very well that time ur hardwork, ur passion is seriously appreciable. But don't u think so, that u need to promote or inspire them who is suffering from #corona that whoever suffering from this disease or getting any symptoms then call to medical services.",2020-03-27 04:25:36,,en,"[{'text': 'corona', 'indices': [177, 184]}]",[],,"New Delhi, India"
50,1243393719291637760,1242825659535118341,"The files of 46 colleges in five districts got stuck due to Corona viruse.  After approval of several posts in these colleges from BRA Bihar University, it was to be sent to the government for final approval.  His files got stuck in the university due to the lockdown. https://t.co/nbeakXxjFZ",2020-03-27 04:25:38,,en,[],[],,muzaffarpur Bihar 
51,1243393895104311297,4543006790,Corona cases rises day by day https://t.co/RJWYU52hiR,2020-03-27 04:26:20,,en,[],[],,"Sector 70, Noida"
52,1243393903576756224,225130799,"Its good to see that people from both political party are doing great work by helping people.
They are in a race who will be the first to run to them. 
Corona is doing something better too. https://t.co/ydQgwpLSjh",2020-03-27 04:26:22,,en,[],[],,"Bengaluru, India"
53,1243394037463187457,437377361,Will karnataka govt give concession in power bill payment in view of Corona virus scare across the state. Will it be deferred by 2 to 3 months? @CMofKarnataka @PMOIndia,2020-03-27 04:26:54,,en,[],[],,Bangalore. India
54,1243394277733892098,544934908,"@abpnewshindi Guys u're doing very well that time ur hardwork, ur passion is seriously appreciable. But don't u think so,that u need to promote or inspire them who is suffering from #corona that whoever suffering from this disease &amp; getting any symptoms thn call to medical srvcs.",2020-03-27 04:27:51,,en,"[{'text': 'corona', 'indices': [182, 189]}]",[],,"New Delhi, India"
55,1243394330804420608,88145247,"Baahu Bali saar..
Baagu bali anthe..

Young Rebel star #Prabhas contributes 4 Crore to the PM relief fund and CM relief funds of #Telangana and #AndhraPradesh to fight aganist #Corona 

PM relief fund : 3 cr 
Ap cm relief fund : 50 lakhs 
Telengana CM relief fund : 50 lakhs https://t.co/q2NCpqlB0f",2020-03-27 04:28:04,,en,"[{'text': 'Prabhas', 'indices': [55, 63]}, {'text': 'Telangana', 'indices': [129, 139]}, {'text': 'AndhraPradesh', 'indices': [144, 158]}, {'text': 'Corona', 'indices': [176, 183]}]",[],,Hyderabad (from Arakuvalley)
56,1243394394427813889,791937080582471680,"As of now, the best way to 'code' Corona is by staying at home with family. Till someone 'decodes' Corona's DNA, let's stay indoors, and be as safe as possible. 

#DecodingCorona #WhenCoronaTalksWeb #WebKiBaasha #WorkingOutCorona #WebAwareness #StayHomeStaySafe #StayHome https://t.co/fqFYp2rw3Y",2020-03-27 04:28:19,,en,"[{'text': 'DecodingCorona', 'indices': [163, 178]}, {'text': 'WhenCoronaTalksWeb', 'indices': [179, 198]}, {'text': 'WebKiBaasha', 'indices': [199, 211]}, {'text': 'WorkingOutCorona', 'indices': [212, 229]}, {'text': 'WebAwareness', 'indices': [230, 243]}, {'text': 'StayHomeStaySafe', 'indices': [244, 261]}, {'text': 'StayHome', 'indices': [262, 271]}]",[],,"Bengaluru, India"
57,1243394532441378823,525098599,@sardesairajdeep suggestion let media reduce their presence and distribute different  locations and trust each other info as their own https://t.co/dJ72SXgCkr,2020-03-27 04:28:52,,en,[],[],,"Anand Vihar, New Delhi"
58,1243394687068594177,1130680986033766406,"@narendramodi Sir with due respect to you PM, regarding total lock down till April 14 https://t.co/QphkQc95gE we all know that due to Corona there is no transport at all.Okay Sir it's https://t.co/1a85Ii3xZN even trucks with groceries are also not allowed.",2020-03-27 04:29:29,,en,[],[],,
59,1243394730567729154,2371486566,"Thu Thu China ... 
@ftchina @ChinaDaily 
#China you r generator of #Corona 
You will die... Soonnn..
You will be never on Map of the world.

@narendramodi 
@realDonaldTrump 
@Plaid_Putin 
#CoronaVillains 
#CoronaHarega 
#CoronaKoDhona https://t.co/WccueIOM7w",2020-03-27 04:29:39,,en,"[{'text': 'China', 'indices': [41, 47]}, {'text': 'Corona', 'indices': [67, 74]}, {'text': 'CoronaVillains', 'indices': [188, 203]}, {'text': 'CoronaHarega', 'indices': [205, 218]}, {'text': 'CoronaKoDhona', 'indices': [220, 234]}]",[],,Burhanpur
60,1243395129496334339,846609444221829121,"Rs 1.70 lakh crore relief package announced for the poor to help them fight against Corona Virus
https://t.co/I94DEy9jQZ https://t.co/dJSME0N3gR",2020-03-27 04:31:14,,en,[],[],,कुशभवनपुर(सुल्तानपुर)
61,1243395463631400960,86468277,LOVE in Air ... #CORONA Also. #stayhomestaysafe #Covid_19india https://t.co/lTEYojolwB,2020-03-27 04:32:34,,en,"[{'text': 'CORONA', 'indices': [16, 23]}, {'text': 'stayhomestaysafe', 'indices': [30, 47]}, {'text': 'Covid_19india', 'indices': [48, 62]}]",[],,Kolkata
62,1243395488985931776,1069922540770885632,Proud to say Swayam sevak https://t.co/IfRPuTtpR3,2020-03-27 04:32:40,,en,[],[],,Chennur
63,1243395556258369541,928219752,"I know I'm late to the party, but the South Korean Netflix series Kingdom is SPECTACULAR: Game of Thrones meets Crouching Tiger, only with better hats (actually the best hats ever.) Totally terrifying but bonkers enough not to be upsetting in a time of Corona.",2020-03-27 04:32:56,,en,[],[],,New Delhi
